protein_group_id,global_sample_id,sample_id,source_dataset,source_status,sample_type,protein_pdb,pocket_pdb,mapped_pocket_residue_count
protein_group_000202,PDBbind2020:4jnm:accepted_dominant_chain,4jnm,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4jnm/4jnm_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4jnm/4jnm_pocket_clean_single_chain.pdb,89
protein_group_000202,PDBbind2020:4jr5:accepted_dominant_chain,4jr5,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4jr5/4jr5_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4jr5/4jr5_pocket_clean_single_chain.pdb,87
protein_group_000202,PDBbind2020:4kfp:accepted_dominant_chain,4kfp,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4kfp/4kfp_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4kfp/4kfp_pocket_clean_single_chain.pdb,92
protein_group_000202,PDBbind2020:4l4m:accepted_dominant_chain,4l4m,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4l4m/4l4m_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4l4m/4l4m_pocket_clean_single_chain.pdb,85
protein_group_000202,PDBbind2020:4lts:accepted_dominant_chain,4lts,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4lts/4lts_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4lts/4lts_pocket_clean_single_chain.pdb,87
protein_group_000202,PDBbind2020:4lww:accepted_dominant_chain,4lww,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4lww/4lww_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4lww/4lww_pocket_clean_single_chain.pdb,87
protein_group_000202,PDBbind2020:4m6p:accepted_dominant_chain,4m6p,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4m6p/4m6p_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4m6p/4m6p_pocket_clean_single_chain.pdb,86
protein_group_000202,PDBbind2020:4n9c:accepted_dominant_chain,4n9c,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4n9c/4n9c_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4n9c/4n9c_pocket_clean_single_chain.pdb,63
protein_group_000202,PDBbind2020:4n9e:accepted_dominant_chain,4n9e,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4n9e/4n9e_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4n9e/4n9e_pocket_clean_single_chain.pdb,101
protein_group_000202,PDBbind2020:4o0z:accepted_dominant_chain,4o0z,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4o0z/4o0z_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4o0z/4o0z_pocket_clean_single_chain.pdb,89
protein_group_000202,PDBbind2020:4o12:accepted_dominant_chain,4o12,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4o12/4o12_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4o12/4o12_pocket_clean_single_chain.pdb,82
