protein_group_id,global_sample_id,sample_id,source_dataset,source_status,sample_type,protein_pdb,pocket_pdb,mapped_pocket_residue_count
protein_group_000333,PDBbind2020:4hn2:accepted,4hn2,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4hn2/4hn2_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4hn2/4hn2_pocket_clean_single_chain.pdb,73
protein_group_000333,PDBbind2020:4nzm:accepted,4nzm,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4nzm/4nzm_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4nzm/4nzm_pocket_clean_single_chain.pdb,75
protein_group_000333,PDBbind2020:4nzn:accepted,4nzn,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4nzn/4nzn_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4nzn/4nzn_pocket_clean_single_chain.pdb,44
protein_group_000333,PDBbind2020:4nzo:accepted,4nzo,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4nzo/4nzo_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4nzo/4nzo_pocket_clean_single_chain.pdb,42
protein_group_000333,PDBbind2020:6n5c:accepted,6n5c,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6n5c/6n5c_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6n5c/6n5c_pocket_clean_single_chain.pdb,73
protein_group_000333,scPDB:3t54_1:accepted,3t54_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t54_1/3t54_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t54_1/3t54_1_pocket_clean_single_chain.pdb,33
protein_group_000333,scPDB:3t99_1:accepted,3t99_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t99_1/3t99_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t99_1/3t99_1_pocket_clean_single_chain.pdb,32
protein_group_000333,scPDB:3t9d_1:accepted,3t9d_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t9d_1/3t9d_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t9d_1/3t9d_1_pocket_clean_single_chain.pdb,34
protein_group_000333,scPDB:3t9f_1:accepted,3t9f_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t9f_1/3t9f_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t9f_1/3t9f_1_pocket_clean_single_chain.pdb,33
protein_group_000333,scPDB:3t9e_1:accepted,3t9e_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t9e_1/3t9e_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t9e_1/3t9e_1_pocket_clean_single_chain.pdb,34
protein_group_000333,scPDB:3t9a_1:accepted,3t9a_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t9a_1/3t9a_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3t9a_1/3t9a_1_pocket_clean_single_chain.pdb,34
protein_group_000333,scPDB:4nzo_1:accepted,4nzo_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4nzo_1/4nzo_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4nzo_1/4nzo_1_pocket_clean_single_chain.pdb,33
protein_group_000333,scPDB:4q4c_1:accepted,4q4c_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4q4c_1/4q4c_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4q4c_1/4q4c_1_pocket_clean_single_chain.pdb,34
