protein_group_id,global_sample_id,sample_id,source_dataset,source_status,sample_type,protein_pdb,pocket_pdb,mapped_pocket_residue_count
protein_group_000002,PDBbind2020:1w51:accepted,1w51,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1w51/1w51_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1w51/1w51_pocket_clean_single_chain.pdb,100
protein_group_000002,PDBbind2020:1ym2:accepted,1ym2,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1ym2/1ym2_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1ym2/1ym2_pocket_clean_single_chain.pdb,108
protein_group_000002,PDBbind2020:1ym4:accepted,1ym4,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1ym4/1ym4_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1ym4/1ym4_pocket_clean_single_chain.pdb,113
protein_group_000002,PDBbind2020:2ohl:accepted,2ohl,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohl/2ohl_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohl/2ohl_pocket_clean_single_chain.pdb,68
protein_group_000002,PDBbind2020:2ohm:accepted,2ohm,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohm/2ohm_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohm/2ohm_pocket_clean_single_chain.pdb,79
protein_group_000002,PDBbind2020:2ohp:accepted,2ohp,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohp/2ohp_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohp/2ohp_pocket_clean_single_chain.pdb,77
protein_group_000002,PDBbind2020:2ohq:accepted,2ohq,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohq/2ohq_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohq/2ohq_pocket_clean_single_chain.pdb,87
protein_group_000002,PDBbind2020:2ohr:accepted,2ohr,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohr/2ohr_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohr/2ohr_pocket_clean_single_chain.pdb,86
protein_group_000002,PDBbind2020:2ohs:accepted,2ohs,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohs/2ohs_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohs/2ohs_pocket_clean_single_chain.pdb,87
protein_group_000002,PDBbind2020:2oht:accepted,2oht,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2oht/2oht_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2oht/2oht_pocket_clean_single_chain.pdb,86
protein_group_000002,PDBbind2020:2ohu:accepted,2ohu,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohu/2ohu_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ohu/2ohu_pocket_clean_single_chain.pdb,100
protein_group_000002,PDBbind2020:2qk5:accepted,2qk5,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qk5/2qk5_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qk5/2qk5_pocket_clean_single_chain.pdb,105
protein_group_000002,PDBbind2020:2qmf:accepted,2qmf,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qmf/2qmf_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qmf/2qmf_pocket_clean_single_chain.pdb,105
protein_group_000002,PDBbind2020:2qmg:accepted,2qmg,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qmg/2qmg_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qmg/2qmg_pocket_clean_single_chain.pdb,105
protein_group_000002,PDBbind2020:2qmd:accepted,2qmd,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qmd/2qmd_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qmd/2qmd_pocket_clean_single_chain.pdb,106
protein_group_000002,PDBbind2020:2qp8:accepted,2qp8,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qp8/2qp8_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qp8/2qp8_pocket_clean_single_chain.pdb,97
protein_group_000002,PDBbind2020:2qu2:accepted,2qu2,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qu2/2qu2_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qu2/2qu2_pocket_clean_single_chain.pdb,93
protein_group_000002,PDBbind2020:2qu3:accepted,2qu3,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qu3/2qu3_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2qu3/2qu3_pocket_clean_single_chain.pdb,106
protein_group_000002,PDBbind2020:2va6:accepted_dominant_chain,2va6,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2va6/2va6_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2va6/2va6_pocket_clean_single_chain.pdb,90
protein_group_000002,PDBbind2020:2va5:accepted_dominant_chain,2va5,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2va5/2va5_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2va5/2va5_pocket_clean_single_chain.pdb,78
protein_group_000002,PDBbind2020:2va7:accepted_dominant_chain,2va7,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2va7/2va7_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2va7/2va7_pocket_clean_single_chain.pdb,91
protein_group_000002,PDBbind2020:2zdz:accepted,2zdz,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2zdz/2zdz_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2zdz/2zdz_pocket_clean_single_chain.pdb,111
protein_group_000002,PDBbind2020:2ze1:accepted,2ze1,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ze1/2ze1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ze1/2ze1_pocket_clean_single_chain.pdb,109
protein_group_000002,PDBbind2020:3cic:accepted,3cic,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3cic/3cic_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3cic/3cic_pocket_clean_single_chain.pdb,108
protein_group_000002,PDBbind2020:3cib:accepted,3cib,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3cib/3cib_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3cib/3cib_pocket_clean_single_chain.pdb,105
protein_group_000002,PDBbind2020:3cid:accepted,3cid,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3cid/3cid_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3cid/3cid_pocket_clean_single_chain.pdb,103
protein_group_000002,PDBbind2020:3ckr:accepted,3ckr,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ckr/3ckr_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ckr/3ckr_pocket_clean_single_chain.pdb,109
protein_group_000002,PDBbind2020:3h0b:accepted,3h0b,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3h0b/3h0b_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3h0b/3h0b_pocket_clean_single_chain.pdb,101
protein_group_000002,PDBbind2020:3hvg:accepted,3hvg,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3hvg/3hvg_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3hvg/3hvg_pocket_clean_single_chain.pdb,71
protein_group_000002,PDBbind2020:3igb:accepted,3igb,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3igb/3igb_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3igb/3igb_pocket_clean_single_chain.pdb,87
protein_group_000002,PDBbind2020:3ind:accepted,3ind,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ind/3ind_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ind/3ind_pocket_clean_single_chain.pdb,87
protein_group_000002,PDBbind2020:3ine:accepted,3ine,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ine/3ine_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ine/3ine_pocket_clean_single_chain.pdb,94
protein_group_000002,PDBbind2020:3inh:accepted,3inh,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3inh/3inh_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3inh/3inh_pocket_clean_single_chain.pdb,99
