protein_group_id,global_sample_id,sample_id,source_dataset,source_status,sample_type,protein_pdb,pocket_pdb,mapped_pocket_residue_count
protein_group_000259,PDBbind2020:3nzc:accepted,3nzc,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3nzc/3nzc_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3nzc/3nzc_pocket_clean_single_chain.pdb,87
protein_group_000259,scPDB:1cd2_1:accepted,1cd2_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1cd2_1/1cd2_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1cd2_1/1cd2_1_pocket_clean_single_chain.pdb,31
protein_group_000259,scPDB:1daj_1:accepted,1daj_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1daj_1/1daj_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1daj_1/1daj_1_pocket_clean_single_chain.pdb,32
protein_group_000259,scPDB:1dyr_1:accepted,1dyr_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1dyr_1/1dyr_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1dyr_1/1dyr_1_pocket_clean_single_chain.pdb,26
protein_group_000259,scPDB:1e26_1:accepted,1e26_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1e26_1/1e26_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1e26_1/1e26_1_pocket_clean_single_chain.pdb,34
protein_group_000259,scPDB:1klk_1:accepted,1klk_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1klk_1/1klk_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1klk_1/1klk_1_pocket_clean_single_chain.pdb,28
protein_group_000259,scPDB:1ly3_1:accepted,1ly3_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1ly3_1/1ly3_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1ly3_1/1ly3_1_pocket_clean_single_chain.pdb,28
protein_group_000259,scPDB:1ly4_1:accepted,1ly4_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1ly4_1/1ly4_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1ly4_1/1ly4_1_pocket_clean_single_chain.pdb,28
protein_group_000259,scPDB:1s3y_1:accepted,1s3y_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1s3y_1/1s3y_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1s3y_1/1s3y_1_pocket_clean_single_chain.pdb,25
protein_group_000259,scPDB:1vj3_1:accepted,1vj3_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1vj3_1/1vj3_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/1vj3_1/1vj3_1_pocket_clean_single_chain.pdb,33
protein_group_000259,scPDB:2cd2_1:accepted,2cd2_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/2cd2_1/2cd2_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/2cd2_1/2cd2_1_pocket_clean_single_chain.pdb,34
protein_group_000259,scPDB:2fzi_1:accepted,2fzi_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/2fzi_1/2fzi_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/2fzi_1/2fzi_1_pocket_clean_single_chain.pdb,36
protein_group_000259,scPDB:2fzh_1:accepted,2fzh_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/2fzh_1/2fzh_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/2fzh_1/2fzh_1_pocket_clean_single_chain.pdb,34
protein_group_000259,scPDB:3cd2_1:accepted,3cd2_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3cd2_1/3cd2_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3cd2_1/3cd2_1_pocket_clean_single_chain.pdb,35
protein_group_000259,scPDB:4cd2_1:accepted,4cd2_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4cd2_1/4cd2_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4cd2_1/4cd2_1_pocket_clean_single_chain.pdb,32
protein_group_000259,scPDB:4ixe_1:accepted,4ixe_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4ixe_1/4ixe_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4ixe_1/4ixe_1_pocket_clean_single_chain.pdb,26
