protein_group_id,global_sample_id,sample_id,source_dataset,source_status,sample_type,protein_pdb,pocket_pdb,mapped_pocket_residue_count
protein_group_000040,PDBbind2020:1rmz:accepted,1rmz,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1rmz/1rmz_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1rmz/1rmz_pocket_clean_single_chain.pdb,66
protein_group_000040,PDBbind2020:1ycm:accepted,1ycm,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1ycm/1ycm_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1ycm/1ycm_pocket_clean_single_chain.pdb,61
protein_group_000040,PDBbind2020:1z3j:accepted,1z3j,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1z3j/1z3j_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1z3j/1z3j_pocket_clean_single_chain.pdb,64
protein_group_000040,PDBbind2020:2hu6:accepted,2hu6,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2hu6/2hu6_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2hu6/2hu6_pocket_clean_single_chain.pdb,66
protein_group_000040,PDBbind2020:3ehx:accepted,3ehx,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ehx/3ehx_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ehx/3ehx_pocket_clean_single_chain.pdb,68
protein_group_000040,PDBbind2020:3ehy:accepted,3ehy,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ehy/3ehy_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ehy/3ehy_pocket_clean_single_chain.pdb,64
protein_group_000040,PDBbind2020:3f15:accepted,3f15,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f15/3f15_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f15/3f15_pocket_clean_single_chain.pdb,67
protein_group_000040,PDBbind2020:3f16:accepted,3f16,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f16/3f16_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f16/3f16_pocket_clean_single_chain.pdb,65
protein_group_000040,PDBbind2020:3f17:accepted,3f17,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f17/3f17_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f17/3f17_pocket_clean_single_chain.pdb,72
protein_group_000040,PDBbind2020:3f18:accepted,3f18,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f18/3f18_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f18/3f18_pocket_clean_single_chain.pdb,61
protein_group_000040,PDBbind2020:3f1a:accepted,3f1a,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f1a/3f1a_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f1a/3f1a_pocket_clean_single_chain.pdb,62
protein_group_000040,PDBbind2020:3f19:accepted,3f19,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f19/3f19_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3f19/3f19_pocket_clean_single_chain.pdb,61
protein_group_000040,PDBbind2020:3lik:accepted,3lik,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3lik/3lik_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3lik/3lik_pocket_clean_single_chain.pdb,73
protein_group_000040,PDBbind2020:3lil:accepted,3lil,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3lil/3lil_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3lil/3lil_pocket_clean_single_chain.pdb,69
protein_group_000040,PDBbind2020:3lir:accepted,3lir,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3lir/3lir_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3lir/3lir_pocket_clean_single_chain.pdb,67
protein_group_000040,PDBbind2020:3ljg:accepted,3ljg,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ljg/3ljg_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ljg/3ljg_pocket_clean_single_chain.pdb,70
protein_group_000040,PDBbind2020:3lk8:accepted,3lk8,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3lk8/3lk8_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3lk8/3lk8_pocket_clean_single_chain.pdb,67
protein_group_000040,PDBbind2020:3lka:accepted,3lka,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3lka/3lka_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3lka/3lka_pocket_clean_single_chain.pdb,59
protein_group_000040,PDBbind2020:3n2u:accepted,3n2u,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3n2u/3n2u_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3n2u/3n2u_pocket_clean_single_chain.pdb,68
protein_group_000040,PDBbind2020:3n2v:accepted,3n2v,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3n2v/3n2v_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3n2v/3n2v_pocket_clean_single_chain.pdb,71
protein_group_000040,PDBbind2020:3nx7:accepted,3nx7,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3nx7/3nx7_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3nx7/3nx7_pocket_clean_single_chain.pdb,68
protein_group_000040,PDBbind2020:3ts4:accepted,3ts4,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ts4/3ts4_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3ts4/3ts4_pocket_clean_single_chain.pdb,73
protein_group_000040,PDBbind2020:3tsk:accepted,3tsk,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3tsk/3tsk_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3tsk/3tsk_pocket_clean_single_chain.pdb,68
protein_group_000040,PDBbind2020:4efs:accepted,4efs,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4efs/4efs_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4efs/4efs_pocket_clean_single_chain.pdb,71
protein_group_000040,PDBbind2020:4gql:accepted,4gql,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4gql/4gql_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4gql/4gql_pocket_clean_single_chain.pdb,77
protein_group_000040,PDBbind2020:4gr0:accepted,4gr0,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4gr0/4gr0_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4gr0/4gr0_pocket_clean_single_chain.pdb,75
protein_group_000040,PDBbind2020:4gr3:accepted,4gr3,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4gr3/4gr3_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4gr3/4gr3_pocket_clean_single_chain.pdb,74
protein_group_000040,PDBbind2020:4gr8:accepted,4gr8,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4gr8/4gr8_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4gr8/4gr8_pocket_clean_single_chain.pdb,72
protein_group_000040,PDBbind2020:5i0l:accepted,5i0l,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/5i0l/5i0l_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/5i0l/5i0l_pocket_clean_single_chain.pdb,70
protein_group_000040,PDBbind2020:6ekn:accepted,6ekn,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6ekn/6ekn_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6ekn/6ekn_pocket_clean_single_chain.pdb,71
protein_group_000040,PDBbind2020:6enm:accepted,6enm,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6enm/6enm_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6enm/6enm_pocket_clean_single_chain.pdb,72
protein_group_000040,PDBbind2020:6eox:accepted,6eox,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6eox/6eox_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6eox/6eox_pocket_clean_single_chain.pdb,69
protein_group_000040,scPDB:2hu6_1:accepted,2hu6_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/2hu6_1/2hu6_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/2hu6_1/2hu6_1_pocket_clean_single_chain.pdb,29
