protein_group_id,global_sample_id,sample_id,source_dataset,source_status,sample_type,protein_pdb,pocket_pdb,mapped_pocket_residue_count
protein_group_000313,PDBbind2020:3czv:accepted,3czv,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3czv/3czv_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3czv/3czv_pocket_clean_single_chain.pdb,72
protein_group_000313,PDBbind2020:4hu1:accepted,4hu1,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4hu1/4hu1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4hu1/4hu1_pocket_clean_single_chain.pdb,83
protein_group_000313,PDBbind2020:4knm:accepted,4knm,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4knm/4knm_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4knm/4knm_pocket_clean_single_chain.pdb,81
protein_group_000313,PDBbind2020:4knn:accepted,4knn,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4knn/4knn_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4knn/4knn_pocket_clean_single_chain.pdb,85
protein_group_000313,PDBbind2020:4qiz:accepted,4qiz,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4qiz/4qiz_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4qiz/4qiz_pocket_clean_single_chain.pdb,91
protein_group_000313,PDBbind2020:4qjp:accepted,4qjp,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4qjp/4qjp_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4qjp/4qjp_pocket_clean_single_chain.pdb,92
protein_group_000313,PDBbind2020:4qjx:accepted,4qjx,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4qjx/4qjx_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4qjx/4qjx_pocket_clean_single_chain.pdb,85
protein_group_000313,PDBbind2020:5e2n:accepted,5e2n,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/5e2n/5e2n_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/5e2n/5e2n_pocket_clean_single_chain.pdb,94
protein_group_000313,PDBbind2020:5lla:accepted,5lla,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/5lla/5lla_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/5lla/5lla_pocket_clean_single_chain.pdb,79
protein_group_000313,PDBbind2020:6g5u:accepted,6g5u,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6g5u/6g5u_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6g5u/6g5u_pocket_clean_single_chain.pdb,82
protein_group_000313,scPDB:3da2_2:accepted_dominant_chain,3da2_2,scPDB,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3da2_2/3da2_2_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3da2_2/3da2_2_pocket_clean_single_chain.pdb,28
protein_group_000313,scPDB:4hu1_2:accepted,4hu1_2,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4hu1_2/4hu1_2_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4hu1_2/4hu1_2_pocket_clean_single_chain.pdb,28
protein_group_000313,scPDB:4knm_2:accepted,4knm_2,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4knm_2/4knm_2_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4knm_2/4knm_2_pocket_clean_single_chain.pdb,28
protein_group_000313,scPDB:4knn_2:accepted,4knn_2,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4knn_2/4knn_2_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4knn_2/4knn_2_pocket_clean_single_chain.pdb,25
