protein_group_id,global_sample_id,sample_id,source_dataset,source_status,sample_type,protein_pdb,pocket_pdb,mapped_pocket_residue_count
protein_group_000153,PDBbind2020:1cwb:accepted,1cwb,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1cwb/1cwb_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1cwb/1cwb_pocket_clean_single_chain.pdb,72
protein_group_000153,PDBbind2020:1cwc:accepted,1cwc,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1cwc/1cwc_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1cwc/1cwc_pocket_clean_single_chain.pdb,72
protein_group_000153,PDBbind2020:1mik:accepted,1mik,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1mik/1mik_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1mik/1mik_pocket_clean_single_chain.pdb,75
protein_group_000153,PDBbind2020:1nmk:accepted,1nmk,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1nmk/1nmk_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1nmk/1nmk_pocket_clean_single_chain.pdb,70
protein_group_000153,PDBbind2020:1w8l:accepted,1w8l,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1w8l/1w8l_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1w8l/1w8l_pocket_clean_single_chain.pdb,56
protein_group_000153,PDBbind2020:1w8m:accepted,1w8m,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1w8m/1w8m_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1w8m/1w8m_pocket_clean_single_chain.pdb,57
protein_group_000153,PDBbind2020:1ynd:accepted,1ynd,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1ynd/1ynd_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1ynd/1ynd_pocket_clean_single_chain.pdb,76
protein_group_000153,PDBbind2020:2ms4:accepted,2ms4,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ms4/2ms4_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/2ms4/2ms4_pocket_clean_single_chain.pdb,71
protein_group_000153,PDBbind2020:3odi:accepted,3odi,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3odi/3odi_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3odi/3odi_pocket_clean_single_chain.pdb,73
protein_group_000153,PDBbind2020:3odl:accepted,3odl,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3odl/3odl_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3odl/3odl_pocket_clean_single_chain.pdb,72
