protein_group_id,global_sample_id,sample_id,source_dataset,source_status,sample_type,protein_pdb,pocket_pdb,mapped_pocket_residue_count
protein_group_000433,PDBbind2020:3b4p:accepted_dominant_chain,3b4p,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3b4p/3b4p_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3b4p/3b4p_pocket_clean_single_chain.pdb,74
protein_group_000433,PDBbind2020:3juo:accepted_dominant_chain,3juo,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3juo/3juo_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3juo/3juo_pocket_clean_single_chain.pdb,80
protein_group_000433,PDBbind2020:3jup:accepted_dominant_chain,3jup,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3jup/3jup_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3jup/3jup_pocket_clean_single_chain.pdb,76
protein_group_000433,PDBbind2020:3juq:accepted_dominant_chain,3juq,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3juq/3juq_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/3juq/3juq_pocket_clean_single_chain.pdb,79
protein_group_000433,scPDB:3b4p_2:accepted_dominant_chain,3b4p_2,scPDB,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3b4p_2/3b4p_2_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3b4p_2/3b4p_2_pocket_clean_single_chain.pdb,20
protein_group_000433,scPDB:3dzl_3:accepted,3dzl_3,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3dzl_3/3dzl_3_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3dzl_3/3dzl_3_pocket_clean_single_chain.pdb,19
protein_group_000433,scPDB:3jun_3:accepted,3jun_3,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3jun_3/3jun_3_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3jun_3/3jun_3_pocket_clean_single_chain.pdb,25
protein_group_000433,scPDB:3jun_4:accepted_dominant_chain,3jun_4,scPDB,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3jun_4/3jun_4_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3jun_4/3jun_4_pocket_clean_single_chain.pdb,20
protein_group_000433,scPDB:3juo_1:accepted,3juo_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3juo_1/3juo_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3juo_1/3juo_1_pocket_clean_single_chain.pdb,27
protein_group_000433,scPDB:3juq_1:accepted,3juq_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3juq_1/3juq_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3juq_1/3juq_1_pocket_clean_single_chain.pdb,26
protein_group_000433,scPDB:3juq_2:accepted_dominant_chain,3juq_2,scPDB,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3juq_2/3juq_2_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/3juq_2/3juq_2_pocket_clean_single_chain.pdb,21
