protein_group_id,global_sample_id,sample_id,source_dataset,source_status,sample_type,protein_pdb,pocket_pdb,mapped_pocket_residue_count
protein_group_000488,PDBbind2020:4rr6:accepted_dominant_chain,4rr6,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4rr6/4rr6_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4rr6/4rr6_pocket_clean_single_chain.pdb,67
protein_group_000488,PDBbind2020:4rra:accepted_dominant_chain,4rra,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4rra/4rra_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/4rra/4rra_pocket_clean_single_chain.pdb,67
protein_group_000488,scPDB:4rr7_1:accepted,4rr7_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rr7_1/4rr7_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rr7_1/4rr7_1_pocket_clean_single_chain.pdb,27
protein_group_000488,scPDB:4rr9_1:accepted,4rr9_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rr9_1/4rr9_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rr9_1/4rr9_1_pocket_clean_single_chain.pdb,26
protein_group_000488,scPDB:4rrc_1:accepted,4rrc_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rrc_1/4rrc_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rrc_1/4rrc_1_pocket_clean_single_chain.pdb,27
protein_group_000488,scPDB:4rr6_1:accepted,4rr6_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rr6_1/4rr6_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rr6_1/4rr6_1_pocket_clean_single_chain.pdb,28
protein_group_000488,scPDB:4rra_1:accepted,4rra_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rra_1/4rra_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rra_1/4rra_1_pocket_clean_single_chain.pdb,28
protein_group_000488,scPDB:4rr8_1:accepted,4rr8_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rr8_1/4rr8_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rr8_1/4rr8_1_pocket_clean_single_chain.pdb,27
protein_group_000488,scPDB:4rrd_1:accepted,4rrd_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rrd_1/4rrd_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rrd_1/4rrd_1_pocket_clean_single_chain.pdb,28
protein_group_000488,scPDB:4rrb_1:accepted,4rrb_1,scPDB,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rrb_1/4rrb_1_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/scPDB_process/4rrb_1/4rrb_1_pocket_clean_single_chain.pdb,27
