protein_group_id,global_sample_id,sample_id,source_dataset,source_status,sample_type,protein_pdb,pocket_pdb,mapped_pocket_residue_count
protein_group_000099,PDBbind2020:1b05:accepted,1b05,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b05/1b05_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b05/1b05_pocket_clean_single_chain.pdb,123
protein_group_000099,PDBbind2020:1b1h:accepted,1b1h,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b1h/1b1h_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b1h/1b1h_pocket_clean_single_chain.pdb,134
protein_group_000099,PDBbind2020:1b0h:accepted,1b0h,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b0h/1b0h_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b0h/1b0h_pocket_clean_single_chain.pdb,135
protein_group_000099,PDBbind2020:1b2h:accepted,1b2h,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b2h/1b2h_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b2h/1b2h_pocket_clean_single_chain.pdb,128
protein_group_000099,PDBbind2020:1b32:accepted,1b32,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b32/1b32_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b32/1b32_pocket_clean_single_chain.pdb,129
protein_group_000099,PDBbind2020:1b3f:accepted,1b3f,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b3f/1b3f_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b3f/1b3f_pocket_clean_single_chain.pdb,126
protein_group_000099,PDBbind2020:1b3g:accepted,1b3g,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b3g/1b3g_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b3g/1b3g_pocket_clean_single_chain.pdb,126
protein_group_000099,PDBbind2020:1b3h:accepted,1b3h,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b3h/1b3h_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b3h/1b3h_pocket_clean_single_chain.pdb,132
protein_group_000099,PDBbind2020:1b40:accepted,1b40,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b40/1b40_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b40/1b40_pocket_clean_single_chain.pdb,130
protein_group_000099,PDBbind2020:1b46:accepted,1b46,PDBbind2020,accepted,accepted,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b46/1b46_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/1b46/1b46_pocket_clean_single_chain.pdb,119
